Thorlabs Beam
Version: 9.1.5787.560
Date: 10/15/2024
Time: 4:01:09 PM

Device: BC106N-VIS
S/N: M00456188

Resolution: Fast ( 8 bit)
Sensor Resolution [pix]: Width: 1360, Height: 1024
Pixel Size [µm]: Horizontal: 6.45, Vertical: 6.45
Region of Interest [pix]: Horizontal: 542, Vertical: 402, Width 276, Height 180
Wavelength [nm]: 520
Attenuation [dB]: 20
Exposure Time [ms]: 1.135
Gain: 1
Base Level [digits]: 45.7103

4;3;3;3;4;4;4;4;4;4;3;4;3;4;3;3;4;4;4;3;3;3;3;3;3;3;4;3;3;3;3;3;4;4;4;4;3;4;4;3;3;3;4;4;4;4;4;4;3;4;4;5;4;4;4;5;7;7;8;8;7;5;4;5;7;8;8;5;5;7;6;5;5;4;5;4;4;3;3;4;5;5;5;5;5;5;4;3;4;4;3;4;4;5;5;4;4;4;4;4;3;4;4;5;5;5;4;4;4;4;5;6;7;7;5;5;5;5;4;5;5;6;6;6;6;7;7;7;7;8;9;12;13;15;17;19;19;18;19;19;22;21;21;21;22;21;20;18;16;16;14;12;13;12;11;11;9;10;8;8;7;6;6;6;6;7;7;7;6;5;5;6;6;5;5;4;5;6;7;6;5;4;4;4;3;3;3;3;4;3;4;4;4;4;4;4;4;3;4;5;6;7;8;7;6;5;4;4;4;4;5;6;6;6;6;7;7;5;4;5;4;4;6;8;7;6;5;4;4;4;4;3;3;4;4;3;3;3;3;3;3;3;3;4;4;4;3;3;3;4;3;3;3;3;3;3;4;4;4;3;3;4;4;4;4;3;3;3;4;3;3;3;3;3;3;4
4;3;3;4;5;4;4;3;4;4;4;4;4;3;3;4;4;4;3;3;3;3;3;3;3;4;4;4;4;3;3;4;4;4;4;3;4;4;3;3;3;3;4;4;4;4;3;4;4;4;5;5;4;4;6;6;8;9;10;8;6;4;5;7;8;7;6;6;6;5;6;4;5;5;5;4;3;4;4;4;5;5;5;4;4;4;3;3;3;3;4;4;4;4;4;4;4;3;3;3;3;4;4;4;4;3;3;4;5;5;6;7;6;6;6;5;4;4;4;5;6;7;7;9;9;9;10;9;11;10;13;13;17;19;22;23;25;24;26;26;25;28;27;28;28;27;25;24;24;23;21;21;20;20;20;19;17;15;13;12;11;10;9;8;7;6;8;7;8;7;6;6;7;7;6;5;5;5;6;6;7;6;6;5;4;3;3;3;3;4;4;4;4;4;4;3;4;4;4;4;4;6;8;8;6;5;5;4;4;3;4;5;6;7;7;7;7;7;5;4;4;3;5;6;7;7;6;5;5;5;5;4;3;4;4;3;3;3;4;3;3;3;3;4;4;4;3;3;3;4;3;3;3;3;4;3;4;5;4;3;3;3;3;4;4;3;3;3;3;4;3;3;3;3;3;3
3;3;3;4;4;4;4;4;4;3;4;4;3;4;4;4;4;3;3;3;3;3;3;3;4;4;4;3;3;3;4;4;4;3;4;3;4;4;3;3;3;3;4;4;4;3;3;3;4;4;5;4;4;5;6;7;8;9;8;7;5;4;6;7;7;5;5;6;5;5;5;5;5;5;4;3;4;4;5;5;5;4;4;4;4;3;3;3;4;4;4;4;4;4;3;3;3;3;3;4;4;4;3;3;4;4;5;5;5;6;7;7;7;6;5;4;4;5;5;6;7;9;11;11;12;12;12;13;15;15;17;15;18;20;22;26;26;28;28;27;30;28;27;28;29;27;27;27;26;28;26;27;28;28;28;25;20;22;20;18;17;17;14;12;9;7;7;8;8;8;7;7;7;8;8;6;5;5;5;5;7;7;7;7;6;4;3;3;3;3;3;4;3;4;4;3;4;4;4;3;3;4;7;8;8;7;5;5;5;4;4;4;5;7;8;8;7;7;8;6;4;4;4;5;6;8;8;6;5;5;5;4;3;3;4;4;3;4;4;4;3;3;3;3;4;4;4;3;3;3;3;3;4;4;3;3;3;4;5;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3
3;4;4;4;4;4;4;3;4;3;4;4;3;4;4;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3;4;5;4;3;3;4;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;5;6;7;8;8;8;6;5;5;5;8;7;7;5;5;5;5;4;4;4;4;3;4;4;5;5;5;5;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;5;6;6;6;7;7;7;6;6;6;6;7;8;9;10;12;12;14;16;17;14;14;14;16;18;18;17;16;19;21;24;26;26;25;26;26;25;26;26;25;26;24;23;24;27;28;29;33;31;30;27;25;23;21;20;21;21;18;16;13;9;9;9;10;9;8;7;8;8;7;7;6;4;4;4;5;6;6;8;7;6;5;4;4;4;4;4;4;3;3;3;4;4;4;4;3;3;5;7;8;8;6;5;5;5;4;3;4;6;8;8;7;8;8;9;6;3;3;4;5;7;8;6;5;4;5;5;4;3;4;4;4;3;4;4;3;4;3;3;4;4;3;3;3;3;3;3;3;4;4;3;3;3;4;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3
3;4;4;4;4;4;4;3;3;3;4;3;3;4;4;3;3;3;3;3;3;3;4;5;4;3;4;3;3;4;5;4;4;3;3;4;5;4;3;3;3;4;4;4;4;3;4;4;3;4;5;5;6;7;8;9;7;6;5;5;6;7;8;8;6;6;5;4;4;4;4;4;4;4;5;5;7;6;6;4;4;4;4;3;3;4;5;4;4;4;4;3;4;4;4;4;4;4;3;3;3;4;4;4;5;5;5;6;6;7;6;7;8;9;10;11;12;12;14;15;15;17;18;17;17;15;13;13;15;16;17;18;18;19;20;22;20;21;21;20;23;26;26;26;26;24;24;22;22;24;26;28;28;33;32;29;26;23;20;19;19;19;20;19;17;15;12;12;12;10;9;8;7;7;7;6;6;5;4;4;4;4;5;6;7;7;5;5;4;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;8;9;7;6;6;6;6;4;3;4;5;7;7;7;8;9;7;4;3;4;4;6;8;8;6;5;4;5;4;3;3;4;3;3;3;4;4;3;3;3;3;4;3;3;3;3;3;3;3;4;4;3;4;3;3;4;4;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3
3;3;4;3;4;4;4;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;3;4;4;4;3;4;4;4;4;4;3;3;4;4;4;3;3;4;4;4;4;5;6;5;5;7;9;9;6;5;5;6;7;8;9;8;6;5;5;4;4;4;4;4;4;5;6;6;6;5;5;5;4;4;4;3;4;4;4;4;4;4;4;3;3;4;4;4;4;4;3;4;4;4;5;5;5;5;5;6;7;7;8;9;10;11;13;15;15;16;17;17;20;21;20;20;18;17;15;16;18;18;17;18;20;19;19;18;19;19;20;23;27;29;29;28;25;24;22;21;22;24;27;27;29;29;30;31;29;26;21;17;17;15;17;20;21;20;19;19;15;13;12;9;7;6;6;7;6;4;4;4;4;3;4;5;5;6;7;7;5;4;3;4;4;4;4;3;3;4;5;4;4;5;4;4;5;7;8;6;5;5;7;5;4;4;5;7;8;6;6;8;8;6;4;3;4;5;6;9;8;6;4;4;4;4;3;3;3;4;3;4;4;3;3;3;3;4;3;3;3;3;3;3;3;4;4;3;4;4;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3
4;4;4;3;3;4;3;3;3;4;4;3;3;4;4;3;3;3;3;3;3;4;4;4;3;4;3;3;4;4;4;3;3;3;4;4;3;3;3;4;4;3;4;3;3;4;4;4;5;5;6;5;5;8;9;6;5;4;6;7;8;9;8;7;5;4;5;5;5;4;4;4;6;6;6;6;6;5;4;4;4;3;3;3;4;4;4;5;4;4;3;3;4;4;4;4;4;4;4;5;5;6;6;5;5;6;6;7;9;11;13;13;14;16;17;18;18;18;18;20;21;24;26;24;22;20;17;19;20;20;21;21;22;19;16;16;18;18;18;20;24;25;28;25;22;21;20;20;20;22;26;28;28;29;31;33;32;31;26;22;20;18;18;18;19;22;24;24;22;21;19;14;10;8;7;7;6;5;4;4;4;4;4;4;4;5;6;6;6;5;3;3;3;4;4;4;3;4;5;5;5;5;5;4;3;4;6;7;6;5;6;6;5;3;3;5;7;7;6;6;7;7;5;3;4;4;5;7;8;7;5;4;4;4;4;3;4;4;4;4;4;4;3;3;4;3;4;3;3;3;3;3;3;3;4;3;4;5;4;3;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3
4;4;4;3;3;4;4;3;4;4;3;3;3;4;4;3;3;3;4;3;4;4;3;3;3;3;4;3;4;4;4;3;3;3;4;3;3;3;4;3;3;4;3;3;4;4;4;4;5;6;5;5;6;8;7;5;4;5;6;7;8;8;7;6;4;4;4;5;5;4;4;6;7;6;6;5;5;4;4;3;3;4;3;4;4;5;4;4;4;3;4;4;4;4;4;4;5;5;6;5;6;6;5;5;5;6;8;11;13;14;16;16;16;19;22;22;21;21;21;20;24;24;25;26;24;21;21;21;20;20;22;21;18;17;16;16;15;15;17;18;20;20;19;19;20;17;17;18;20;22;25;27;27;29;29;29;32;32;33;31;30;25;23;20;19;20;23;25;29;26;24;20;15;12;11;10;8;6;5;4;5;5;4;5;5;5;5;6;6;6;5;4;3;3;3;3;3;4;4;5;5;5;5;5;4;3;4;6;7;6;5;5;6;4;3;4;7;7;6;6;7;7;6;4;3;4;5;6;7;7;6;5;5;5;4;3;3;4;4;4;3;4;4;3;3;4;3;3;3;4;3;3;3;3;3;4;3;4;4;4;4;4;3;4;4;4;3;3;3;3;3;3;3;3;3;3
3;4;4;3;3;4;4;3;4;3;3;3;4;4;4;3;3;3;3;3;4;4;3;3;4;3;3;4;4;3;3;3;3;3;3;4;3;3;4;4;3;3;3;3;4;4;4;5;5;5;5;5;6;6;5;4;5;6;7;7;7;7;6;4;4;4;5;5;4;4;6;6;7;6;5;4;4;4;4;3;3;3;4;4;4;5;4;4;4;4;4;5;4;4;4;5;6;6;5;6;5;5;5;5;6;8;12;14;16;15;17;19;20;24;25;24;21;20;20;20;20;22;25;25;25;25;26;26;22;19;17;17;15;14;15;16;16;16;16;18;18;17;16;16;16;18;17;19;20;20;24;26;29;29;29;30;32;30;30;32;33;31;30;25;23;24;24;24;23;24;25;23;20;18;16;13;12;10;7;6;6;6;6;6;5;5;5;5;5;5;5;4;4;3;3;3;3;3;4;4;4;4;4;4;4;4;3;5;7;8;6;5;6;6;4;4;4;6;6;6;7;7;7;5;4;4;5;6;6;6;7;6;5;4;4;3;3;4;4;4;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;4;3;4;4;4;4;3;4;4;4;3;4;3;3;3;3;3;3;3;3
3;4;4;3;3;4;3;4;4;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;4;3;4;4;4;3;3;4;3;3;4;4;3;4;4;3;3;3;4;4;4;4;4;5;5;5;5;6;7;6;4;5;7;8;7;8;8;7;5;4;4;5;5;4;4;5;6;6;6;5;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;5;5;4;4;4;5;6;6;6;5;5;5;5;7;9;10;12;15;17;18;16;16;19;23;28;28;24;20;20;21;22;23;22;21;21;21;20;20;22;20;17;17;16;14;14;16;15;16;16;17;21;19;19;16;16;18;19;20;22;22;22;21;23;26;26;29;26;26;26;27;29;29;29;30;28;26;26;26;23;21;19;21;22;26;26;24;20;17;14;11;8;6;7;6;5;6;6;6;5;6;6;6;5;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;5;7;7;5;6;6;5;4;4;5;6;6;6;7;7;6;4;4;5;6;5;5;7;7;6;5;4;3;3;3;3;3;3;3;3;3;3;4;4;4;3;4;4;3;3;3;3;4;4;3;4;5;4;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3
