Thorlabs Beam
Version: 9.1.5787.560
Date: 10/21/2024
Time: 4:30:14 PM

Device: BC106N-VIS
S/N: M00456188

Resolution: Fast ( 8 bit)
Sensor Resolution [pix]: Width: 1360, Height: 1024
Pixel Size [µm]: Horizontal: 6.45, Vertical: 6.45
Region of Interest [pix]: Horizontal: 536, Vertical: 400, Width 288, Height 218
Wavelength [nm]: 520
Attenuation [dB]: 20
Exposure Time [ms]: 238.339
Gain: 1
Base Level [digits]: 45.7103

3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;4;3;4;4;5;5;5;5;6;7;8;9;10;11;11;11;12;11;12;12;12;12;11;11;11;10;10;8;7;6;6;5;5;4;4;4;4;3;3;3;3;3;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;4;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;4;3;3;3;4;3;3;4;3;3;3;3;4;4;3;4;4;4;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;4;3;3;3;3;3;3;3;4;3;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;5;5;5;6;6;7;7;8;9;10;10;11;11;11;10;11;11;11;10;11;10;10;11;10;10;9;9;7;6;6;5;4;4;4;4;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;4;4;4;4;4;4;4;3;4;3;3;3;3;3;3;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;3;4;4;4;4;4;5;6;6;8;8;8;9;10;11;11;11;12;12;12;12;12;12;12;11;11;10;9;7;7;7;6;5;5;4;4;4;4;3;4;4;3;3;3;3;3;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;5;5;6;7;7;8;9;9;10;11;11;11;11;11;11;12;13;12;12;12;11;10;10;8;7;7;6;5;5;4;4;4;4;4;3;3;3;3;4;4;4;4;4;3;4;4;4;3;3;4;3;3;4;4;3;3;4;3;3;3;3;3;4;3;3;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4;3;4;3;4;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;3;3;4;4;4;5;5;5;6;8;10;10;11;11;11;12;13;14;13;14;14;14;13;12;13;13;11;9;9;8;7;6;6;5;5;4;4;4;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;4;4;4;4;4;4;3;3;4;3;3;4;4;4;5;5;6;6;8;9;9;9;10;11;12;12;12;13;13;13;14;14;13;13;14;12;12;11;8;8;6;6;5;5;5;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;3;3;4;3;3;3;3;4;3;3;4;4;3;3;4;4;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;4;4;3;4;3;3;3;3;3;3;3;3;3;4;3;4;4;3;4;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;4;5;6;6;7;8;8;8;9;10;11;11;12;13;14;15;16;16;14;14;13;12;11;12;10;10;9;7;7;6;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;4;3;3;3;4;3;3;3;3;4;4;3;3;3;3;3;4;3;3;4;4;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;4;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;5;5;6;7;7;9;9;10;10;12;14;15;15;15;14;14;14;13;13;14;13;13;12;11;9;9;7;7;6;5;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;4;3;4;3;3;3;4;4;3;3;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;4;4;4;3;4;3;3;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;5;5;6;7;7;8;9;10;12;13;13;13;13;14;14;14;14;15;14;14;14;14;13;12;10;10;8;7;6;5;5;4;3;4;3;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;4;3;4;3;3;4;3;3;3;4;3;3;3;4;3;3;3;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;3;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;4;3;3;4;4;4;3;4;3;4;3;3;3;3;3;4;3;3;3;3;3;4;4;3;4;4;5;4;4;4;4;4;4;4;3;3;3;4;4;4;5;5;6;5;7;7;9;9;11;12;12;12;14;13;14;15;16;14;14;13;14;12;12;11;11;10;9;8;7;6;6;5;4;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;4;4;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
